Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/input_city""), input_city)",Chrome 143.0.7499.147,Step 13: Enter input value in input city,,06-01-2026 10:28:36,06-01-2026 10:28:36,0.043s,PASSED
"TrueTestScripts.selectOption(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/select_state""), select_state, ""label"", false)",Chrome 143.0.7499.147,Step 14: Select option with input value from select state,,06-01-2026 10:28:36,06-01-2026 10:28:37,1.802s,PASSED
"enhancedClick(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/input_zipCode""))",Chrome 143.0.7499.147,Step 15: Click on input zipCode,,06-01-2026 10:28:37,06-01-2026 10:28:37,0.024s,PASSED
"setText(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/input_zipCode""), input_zipCode)",Chrome 143.0.7499.147,Step 16: Enter input value in input zipCode,,06-01-2026 10:28:37,06-01-2026 10:28:37,0.041s,PASSED
"enhancedClick(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/button_submitApplication""))",Chrome 143.0.7499.147,Step 17: Click on button submitApplication,,06-01-2026 10:28:37,06-01-2026 10:28:37,0.037s,PASSED
"enhancedClick(findTestObject(""AI-Generated/Katalian Banking Production/Page_apply/button_returnToDashboard""))",Chrome 143.0.7499.147,Step 18: Click on button returnToDashboard -> Navigate to page '/dashboard',,06-01-2026 10:28:37,06-01-2026 10:28:40,2.515s,PASSED
"enhancedClick(findTestObject(""AI-Generated/Katalian Banking Production/Page_dashboard/span_pending""))",Chrome 143.0.7499.147,Step 19: Click on span pending,,06-01-2026 10:28:40,06-01-2026 10:28:40,0.031s,PASSED
"enhancedClick(findTestObject(""AI-Generated/Katalian Banking Production/Page_dashboard/button_logout""))",Chrome 143.0.7499.147,Step 20: Click on button logout -> Navigate to page '',,06-01-2026 10:28:40,06-01-2026 10:28:40,0.031s,PASSED
"takeFullPageScreenshotAsCheckpoint(""TC6-Submit Application and Logout from Dashboard_visual_checkpoint"")",Chrome 143.0.7499.147,Step 21: Take full page screenshot as checkpoint,,06-01-2026 10:28:40,06-01-2026 10:28:40,0.078s,PASSED
Start tear down : teardown,Chrome 143.0.7499.147,,,06-01-2026 10:28:40,06-01-2026 10:28:40,0.089s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 143.0.7499.147,,,06-01-2026 10:28:40,06-01-2026 10:28:40,0.000s,PASSED
